Time [Mins],DATE (MMDD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Snow Depth [cm],Moisture,Albedo (CMP11)
518,0101,0838,35.9681,2.47769,132.77335,9.09,2.781,-4.619,35.9,7,5.95,270.9,802.57,0.0,0.209,0.0,0.1783
519,0101,0839,39.2188,6.602239999999999,132.95863,9.12,2.8,-4.7,35.58,7,7.95,269.2,802.4760000000001,0.0,0.263,0.0,0.1823
520,0101,0840,45.4534,20.9145,133.14433,9.25,2.87,-4.73,35.18,10,6.95,274.0,802.425,0.0,0.335,0.0,0.1929
521,0101,0841,65.9462,110.848,133.33045,9.39,2.967,-4.633,35.14,11,5.45,283.5,802.5010000000001,0.0,0.16899999999999998,0.0,0.2275
522,0101,0842,71.9109,117.984,133.51701,9.39,2.947,-4.553,35.38,11,6.95,284.0,802.4630000000001,0.0,0.175,0.0,0.2359
523,0101,0843,53.4681,17.3932,133.70399,9.3,2.9339999999999997,-4.466,35.86,12,5.7,282.5,802.4889999999999,0.0,0.10300000000000001,0.0,0.2041
524,0101,0844,53.7671,9.63868,133.8914,9.21,2.931,-4.468999999999999,36.07,13,5.45,290.4,802.46,0.0,0.006999999999999999,0.0,0.2018
525,0101,0845,56.9553,11.0185,134.07924,8.83,2.742,-4.3580000000000005,37.36,13,4.45,295.5,802.465,0.0,0.091,0.0,0.206
526,0101,0846,79.5813,109.51700000000001,134.26751000000002,8.63,2.64,-4.46,37.54,14,3.45,267.7,802.419,0.0,0.11800000000000001,0.0,0.2295
527,0101,0847,118.03399999999999,264.497,134.45622,8.56,2.6060000000000003,-4.494,37.61,13,7.45,289.5,802.335,0.0,0.38799999999999996,0.0,0.2524
528,0101,0848,115.41799999999999,249.577,134.64536999999999,9.05,2.759,-4.641,35.93,15,10.45,273.6,802.14,0.0,0.452,0.0,0.2478
529,0101,0849,82.5987,107.059,134.83495,9.48,3.048,-4.552,35.17,15,7.45,283.7,802.2080000000001,0.0,0.29100000000000004,0.0,0.2305
530,0101,0850,75.4385,84.2057,135.02497,9.69,3.13,-4.47,34.92,14,8.95,276.8,802.178,0.0,0.292,0.0,0.2284
531,0101,0851,60.3799,19.1981,135.21543,9.85,3.2,-4.5,34.46,13,8.2,273.1,802.19,0.0,0.272,0.0,0.2095
532,0101,0852,57.893,11.8937,135.40633,9.96,3.2710000000000004,-4.629,33.83,12,8.7,269.0,802.2330000000001,0.0,0.24,0.0,0.2084
533,0101,0853,84.6459,136.029,135.59767,10.02,3.28,-4.62,33.72,12,7.95,270.5,802.252,0.0,0.21600000000000003,0.0,0.2382
534,0101,0854,108.318,204.429,135.78946000000002,10.08,3.299,-4.601,33.64,15,5.7,277.2,802.2869999999999,0.0,0.14800000000000002,0.0,0.2525
535,0101,0855,110.71600000000001,206.043,135.98169,10.08,3.323,-4.577,33.71,14,5.45,255.1,802.216,0.0,0.23,0.0,0.2504
536,0101,0856,90.8321,96.946,136.17436999999998,10.08,3.3339999999999996,-4.466,34.03,15,6.45,278.0,802.221,0.0,0.162,0.0,0.2349
537,0101,0857,99.6251,122.391,136.3675,10.07,3.295,-4.505,33.94,19,7.7,271.5,802.185,0.0,0.205,0.0,0.235
538,0101,0858,136.632,267.159,136.56107,10.07,3.35,-4.55,33.81,20,9.7,266.3,802.148,0.0,0.19,0.0,0.2539
539,0101,0859,111.55,155.585,136.7551,10.08,3.303,-4.497,33.94,23,8.45,270.5,802.095,0.0,0.214,0.0,0.2402
540,0101,0900,106.26,137.297,136.94958,10.09,3.383,-4.5169999999999995,33.86,25,7.45,271.9,802.0160000000001,0.0,0.21600000000000003,0.0,0.2366
541,0101,0901,96.3251,92.792,137.14451,10.08,3.3339999999999996,-4.466,34.03,24,7.45,264.7,802.052,0.0,0.193,0.0,0.2322
542,0101,0902,150.444,317.64799999999997,137.33989,10.05,3.366,-4.534,33.9,26,6.95,260.9,802.002,0.0,0.19399999999999998,0.0,0.2494
543,0101,0903,262.837,758.444,137.53573,10.05,3.327,-4.573,33.79,30,5.7,275.2,802.012,0.0,0.215,0.0,0.2732
544,0101,0904,134.936,255.632,137.73202,10.09,3.407,-4.393,34.22,29,5.45,268.0,802.01,0.0,0.196,0.0,0.2525
545,0101,0905,83.6426,56.9277,137.92878000000002,10.08,3.3680000000000003,-4.4319999999999995,34.13,26,6.45,259.2,801.962,0.0,0.193,0.0,0.2223
