Time [Mins],Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Tower RH [%],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Avg Wind Direction @ 6ft [deg from N],Station Pressure [mBar],Precipitation (Accumulated) [mm],Snow Depth [cm],Moisture,Albedo (CMP11)
0,447.309,30.4005,123.94756,14.36,4.684,-7.216,20.26,96,2.7,246.6,814.6360000000002,0.0,-0.059,0.0,0.2017
30,410.611,8.639669999999999,132.21002,14.51,4.746,-7.444,19.67,95,1.95,155.7,814.4780000000002,0.0,-0.083,0.0,0.1982
60,444.475,35.5525,141.77653999999995,14.65,5.055,-6.445,21.26,89,0.0,0.0,814.441,0.0,0.059,0.0,0.1957
90,482.55300000000005,42.2644,152.79944,15.21,5.157,-6.943,19.64,86,2.7,116.5,814.2180000000002,0.0,0.042,0.0,0.1973
120,628.355,199.523,165.19651000000005,15.34,5.184,-7.216,19.02,83,2.7,126.6,814.0160000000002,0.0,0.11,0.0,0.1975
150,1026.67,791.704,178.50572,17.13,6.1370000000000005,-6.7429999999999986,17.68,79,2.95,126.3,813.6239999999998,0.0,0.215,0.0,0.1972
180,1007.7,713.755,191.91921,18.05,6.534,-6.766,16.65,89,4.2,127.7,813.297,0.0,0.21,0.0,0.1959
210,763.041,287.353,204.58474,17.96,6.3679999999999986,-7.232,16.08,99,4.45,111.5,812.9060000000002,0.0,0.07,0.0,0.1991
240,467.18,25.1543,215.94684,17.04,6.175,-6.405,18.31,100,2.2,112.8,812.6510000000002,0.0,0.297,0.0,0.1982
270,328.58,3.02068,225.84506,16.55,6.024,-5.876,19.77,99,3.95,31.03,812.426,0.0,-0.001,0.0,0.1977
300,414.423,33.347,234.39255,16.33,6.183,-4.917,21.77,100,4.45,57.06,812.4,0.0,0.204,0.0,0.1994
330,418.949,121.17,241.81765,16.45,6.1739999999999995,-5.3260000000000005,20.86,99,2.45,39.56,812.442,0.0,0.017,0.0,0.2006
360,195.664,1.25696,248.3641,15.97,5.8839999999999995,-5.6160000000000005,20.98,99,0.0,0.0,812.628,0.0,0.08,0.0,0.1852
